2014-10-28 00:08:37,019 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:08:37,020 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:08:37,021 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:10:08,180 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:10:08,182 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:10:08,186 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:10:08,187 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:10:18,385 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:10:18,385 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:10:18,387 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:10:18,387 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:10:24,805 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:10:24,806 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:10:24,808 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:10:24,808 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:10:58,899 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:10:58,901 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:10:58,903 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:10:58,903 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:11:01,852 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:11:01,853 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:11:01,854 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:11:01,854 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:13:21,616 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:13:21,617 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:13:21,618 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:13:21,619 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
